Part ID;Value;Package;Stock Code;Layer;Rotation;X;Y
BAT2;3V;BAT 3V EG;C70376;TOP;90;798.736;130.098
D4;LED-WHITE;SM4014UWDN02;;BOT;0;156.286;121.098
D6;LED-AQUA;SM4014UWDN02;;BOT;0;156.286;137.098
D5;LED-WHITE;SM4014UWDN02;;BOT;0;796.186;121.098
D7;LED-AQUA;SM4014UWDN02;;BOT;0;796.186;137.098
U1;MCP73831T-2ACI_OT;SOT95P270X145-5N;;TOP;0;118.736;215.098
J1;USB TYPE C;USB TYPE C;C309349;TOP;-180;44.611;196.598
DONE;LED-RED;LEDC1608X60;;TOP;0;23.236;109.098
CHG;LED-GREEN;LEDC1608X60;;TOP;0;23.236;910.979
Q1;MJD127T4;DPAK;Digikey 497-2471-2-ND;TOP;180;224.236;655.295
Q3;MJD127T4;DPAK;Digikey 497-2471-2-ND;TOP;180;88.236;655.295
U2;ATTINY85;SOIC127P787X213-8;;TOP;0;201.236;200.748
D3;1N4148W;SOD123;;TOP;0;705.236;27.098
U3;FUSE_1;1206;;TOP;0;156.984;770.979
C1;10uf;0603_CAP;;TOP;-180;10.16;165.098
C2;1nF;0603_CAP;;TOP;-180;13.26;165.098
R1;470;0603_RES;;TOP;90;297.236;464.619
R2;470;0603_RES;;TOP;90;297.236;767.339
R3;1k;0603_RES;;TOP;90;297.236;105.462
R4;2.5k;0603_RES;;TOP;90;297.236;135.734
R5;1k;0603_RES;;TOP;180;15.66;560.979
R6;1k;0603_RES;;TOP;180;15.66;28.098
BTN1;PW;BOTON_90G_TH_EG;C561519;TOP;180;316.136;207.398
BTN2;PRV;BOTON_90G_TH_EG;C561519;TOP;180;425.737;207.498
BTN3;OK;BOTON_90G_TH_EG;C561519;TOP;180;535.737;207.498
BTN4;NXT;BOTON_90G_TH_EG;C561519;TOP;180;645.737;207.498
