Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
BAT2,3V,BAT 3V EG,C70376,TOP,90,79.8736,13.0098
D4,LED-WHITE,SM4014UWDN02,,BOT,0,15.6286,12.1098
D6,LED-AQUA,SM4014UWDN02,,BOT,0,15.6286,13.7098
D5,LED-WHITE,SM4014UWDN02,,BOT,0,79.6186,12.1098
D7,LED-AQUA,SM4014UWDN02,,BOT,0,79.6186,13.7098
J1,USB TYPE C,USB TYPE C,C309349,TOP,-180,4.4611,19.6598
DONE,LED-RED,LEDC1608X60,,TOP,0,2.3236,10.9098
CHG,LED-GREEN,LEDC1608X60,,TOP,0,2.3236,9.10979
Q1,MJD127T4,DPAK,Digikey 497-2471-2-ND,TOP,180,22.4236,6.55295
Q3,MJD127T4,DPAK,Digikey 497-2471-2-ND,TOP,180,8.8236,6.55295
U2,ATTINY85,SOIC127P787X213-8,,TOP,0,20.4236,19.6748
D3,1N4148W,SOD123,,TOP,0,70.5236,2.7098
U3,FUSE_1,1206,,TOP,0,15.6984,7.70979
C1,10uf,0603_CAP,,TOP,-180,10.16,16.5098
C2,1nF,0603_CAP,,TOP,-180,13.26,16.5098
R1,470,0603_RES,,TOP,90,29.7236,4.64619
R2,470,0603_RES,,TOP,90,29.7236,7.67339
R3,1k,0603_RES,,TOP,90,29.7236,10.5462
R4,2.5k,0603_RES,,TOP,90,29.7236,13.5734
R5,1k,0603_RES,,TOP,180,15.66,5.60979
R6,1k,0603_RES,,TOP,180,15.66,2.8098
BTN1,PW,BOTON_90G_TH_EG,C561519,TOP,180,31.6136,20.7398
BTN2,PRV,BOTON_90G_TH_EG,C561519,TOP,180,42.5737,20.7498
BTN3,OK,BOTON_90G_TH_EG,C561519,TOP,180,53.5737,20.7498
BTN4,NXT,BOTON_90G_TH_EG,C561519,TOP,180,64.5737,20.7498
U1,MCP738312ACIMC,MCP73831-2ACI_MC,C411870,TOP,0,12.1351,19.05
R7,220,0603_RES,,TOP,180,17.1636,24.7
CONN1,ISCP CONN EG,ICSP EG,,TOP,0,11.85,24.7
